Filename,Google Drive ID,Drive Path
sync_tasks_combined.py,1BjMicK6cj9uTS-YPNOIS52FfXMywjBZU,/MacMini/Documents/AGY/the_system
check_system_health.py,17mzSMZ-ZeU1pA1BTjDQn-lsZUJ66jciU,/MacMini/Documents/AGY/the_system
deploy.sh,1vb7CZYwJPeiddg935o9V5YZ25F8RAOFO,/MacMini/Documents/AGY/the_system
System_ID_Manifest.json,1B13uNx6UmTgqTrSyU4mvhnhoirxLh4FL,/MacMini/Documents/AGY/the_system
creds_private.json,1Fxln7GKdjaGs2dwgMBLxzof20Re5xpcH,/MacMini/Documents/AGY/the_system
creds_work.json,1m4RnDE-2sFuWy1YgQeb2VucnHmUgdQud,/MacMini/Documents/AGY/the_system
client_secret.json,1MJsRMjqoiqmKDVxN6V7dpjt8YLVZ3uLf,/MacMini/Documents/AGY/the_system
token_tasks.json,1g8h3KWVBBxOvtee-vFy2k7vyMVSMMzQA,/MacMini/Documents/AGY/the_system
token_tasks_work.json,1Jx1awmToSrujaUte6YSpX9RUt_qGN2t8,/MacMini/Documents/AGY/the_system
requirements.txt,1mul7YYa2d6z-XwYRLDSTh_HhMJH9Txx9,/MacMini/Documents/AGY/the_system
rules.agy,1D2TvR6Ee0iIs4KFFG6ljNX32t_mu1HAr,/MacMini/Documents/AGY/reflection
WoS_Taxonomy.json,1o5nw6OXjXUP15pcsCM139mQm33xKT4NA,/MacMini/Documents/AGY/agy_quantum21/01_professional_admin/the_system_pmt
WoS_Taxonomy.csv,1fYPz6QAYtz8N7u85tl6FJcnL738iJd4F,/MacMini/Documents/AGY/agy_quantum21/01_professional_admin/the_system_pmt
DB_Execution.csv,116H-wVGcd9XdXvPq35PE9J6C3AVijJHt,/MacMini/Documents/AGY/agy_quantum21
DB_Performance.csv,15IHNpOTx_NYU24SP3zQdPDqI8AY_iRa2,/MacMini/Documents/AGY/agy_quantum21
Google Tasks.md,1h6-qmZQTYcCs3paHviJsQA5CEUX5srLK,/MacMini/Documents/AGY/agy_main
Google Tasks (Combined).md,1fs00OCWVi0kGY404b0Ew_alfd3B4c4Wi,/MacMini/Documents/AGY/the_system
Google Tasks (Work).md,NOT FOUND ON DRIVE,N/A
TS - Task Master > 1 Day Execution Plan (Private).md,1_TMGaK2U00kMeagblJjrcD6MJFcY18Kq,/MacMini/Documents/AGY/the_system
TS - Task Master > 1 Day Execution Plan.md,NOT FOUND ON DRIVE,N/A
TS - Task Master > 7 Day Roadmap.md,1fYGEyVHs095e7OhJhlXqCVk6psTt9C8-,/My Drive/01 00 00 Private/01 01 00 Personal Admin/01 01 01 Task Management/The System (TS)
TS - Task Master > 28 Day Strategic Pruning.md,18kNfI4wwXdpj5wf-58U4t88GN0BBeHS0,/My Drive/01 00 00 Private/01 01 00 Personal Admin/01 01 01 Task Management/The System (TS)
TS - Task Master > 84 Day Strategic Reflection.md,13nOu7V0nJUpgSGPpvCaqefH_V0HgFHic,/My Drive/01 00 00 Private/01 01 00 Personal Admin/01 01 01 Task Management/The System (TS)
TS - Task Master > Global Priority Review.md,1Du1kyleRs0i67XeloJVY5FeeKfU1Jxmt,/MacMini/Documents/AGY/the_system
Task_Correction_Dossier.md,1ca1ynkYwuSFcav-vZLJw2-Qa7KTwgvck,/MacMini/Documents/AGY/the_system
Strategic_Next_Steps_Report.md,1NFujqC_v9LKt33eoPOGH9a7f7G7zuFcY,/MacMini/Documents/AGY/agy_quantum21
Task_Master_Prompt.md,11Q8GQQ33KroFw8SNTQ6ioyDvnNq4j6ar,/MacMini/Documents/AGY/the_system
Task_Master_84_Day_Prompt.md,19tMj7x-enx2V46zxQk_GV8zCMDnXYPC3,/MacMini/Documents/AGY/the_system
Task_Master_28_Day_Prompt.md,1Pbd82pt6qEfTbc7iPNlvCiR6VwqDoj1d,/MacMini/Documents/AGY/the_system
Task_Master_7_Day_Prompt.md,1-lT7o0gxHYMpoybNx6iFQ-EMxw5tbLtD,/MacMini/Documents/AGY/the_system
TS - Task Master > 1 Day Operations Prompt.md,1bMNfanIwxmZa2XeappF0E5Pha4OhbHXu,/MacMini/Documents/AGY/the_system/docs
TS - Categorisation (Work).md,1gFvlLGijJ2Z1wbK8L32SFakH66yGXVUo,/MacMini/Documents/AGY/agy_quantum21/01_professional_admin/the_system_pmt
TS - Categorisation.md,1rojOShtw_gfbXLH-AZQdHFKBAmPtw7g_,/My Drive/01 00 00 Private/01 01 00 Personal Admin/01 01 01 Task Management/The System (TS)
TS Categorisation WoS.md,NOT FOUND ON DRIVE,N/A
System_Topology_Manifest.csv,1COuFtEKRU-dPQJgm8DtBxb4G9EBjBiLo,/MacMini/Documents/AGY
