"L1 Code","L1 Name","L2 Code","L2 Name","L3 Code","L3 Name","L4 Name","L4 Description","Concat (Label)","Concat (Path)"
"01 00 00","Private","","","","","","","01 Private","01 00 00 Private"
"02 00 00","Work","","","","","","","02 Work","02 00 00 Work"
"03 00 00","Studies","","","","","","","03 Studies","03 00 00 Studies"
"01 00 00","Private","01 01 00","Personal Admin","","","","","01 Private/01 Personal Admin","01 01 00 Personal Admin"
"01 00 00","Private","01 02 00","Health","","","","","01 Private/02 Health","01 02 00 Health"
"01 00 00","Private","01 03 00","Personal Growth","","","","","01 Private/03 Personal Growth","01 03 00 Personal Growth"
"01 00 00","Private","01 04 00","Finances","","","","","01 Private/04 Finances","01 04 00 Finances"
"01 00 00","Private","01 05 00","Other","","","","","01 Private/05 Other","01 05 00 Other"
"02 00 00","Work","02 01 00","Employment","","","","","02 Work/01 Employment","02 01 00 Employment"
"02 00 00","Work","02 02 00","Career Management","","","","","02 Work/02 Career Management","02 02 00 Career Management"
"02 00 00","Work","02 03 00","Collections","","","","","02 Work/03 Collections","02 03 00 Collections"
"01 00 00","Private","01 01 00","Personal Admin","01 01 01","Task Management","","","01 Private/01 Personal Admin/01 Task Management","01 01 01 Task Management"
"01 00 00","Private","01 01 00","Personal Admin","01 01 02","Contracts","","","01 Private/01 Personal Admin/02 Contracts","01 01 02 Contracts"
"01 00 00","Private","01 02 00","Health","01 02 01","Physical Health","","","01 Private/02 Health/01 Physical Health","01 02 01 Physical Health"
"01 00 00","Private","01 02 00","Health","01 02 02","Mental Health","","","01 Private/02 Health/02 Mental Health","01 02 02 Mental Health"
"01 00 00","Private","01 03 00","Personal Growth","01 03 01","Principles, Goals & Methods","","","01 Private/03 Personal Growth/01 Principles, Goals & Methods","01 03 01 Principles, Goals & Methods"
"01 00 00","Private","01 03 00","Personal Growth","01 03 02","Reflection","","","01 Private/03 Personal Growth/02 Reflection","01 03 02 Reflection"
"01 00 00","Private","01 03 00","Personal Growth","01 03 03","Personal Growth Theory","","","01 Private/03 Personal Growth/03 Personal Growth Theory","01 03 03 Personal Growth Theory"
"01 00 00","Private","01 04 00","Finances","01 04 01","Purchase","","","01 Private/04 Finances/01 Purchase","01 04 01 Purchase"
"01 00 00","Private","01 04 00","Finances","01 04 02","House","","","01 Private/04 Finances/02 House","01 04 02 House"
"01 00 00","Private","01 05 00","Other","01 05 01","Projects","","","01 Private/05 Other/01 Projects","01 05 01 Projects"
"01 00 00","Private","01 05 00","Other","01 05 02","Relationships","","","01 Private/05 Other/02 Relationships","01 05 02 Relationships"
"01 00 00","Private","01 05 00","Other","01 05 03","Collections","","","01 Private/05 Other/03 Collections","01 05 03 Collections"
"02 00 00","Work","02 01 00","Employment","02 01 01","Quantum 21","","","02 Work/01 Employment/01 Quantum 21","02 01 01 Quantum 21"
"03 00 00","Studies","03 02 00","","03 02 01","År 1 | (2009-2010)","","","03 Studies/01 År 1 | (2009-2010)","03 02 01 År 1 | (2009-2010)"
